"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tam_usefulness_3,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Productivity increasing 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Productivity decreasing",,,,,,,,RH,,,,
tam_usefulness_4,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Effective 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Ineffective",,,,,,,,RH,,,,
tam_usefulness_5,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Helpful 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Unhelpful",,,,,,,,RH,,,,
tam_usefulness_6,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Useful 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Useless",,,,,,,,RH,,,,
tam_ease_of_use_1,technology_assessment_measurement_fast_form,"Perceived Ease of Use.",radio,"Overall, I feel the RADAR-CNS system is:","0,Easy to learn 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Difficult to learn",,,,,,,,RH,,,,
tam_ease_of_use_2,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Easy to 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Difficult to manipulate manipulate",,,,,,,,RH,,,,
tam_ease_of_use_3,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Clear to 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Obscure to interact with interact with",,,,,,,,RH,,,,
tam_ease_of_use_4,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Flexible to 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Rigid to interact with interact with",,,,,,,,RH,,,,
tam_ease_of_use_5,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Easy to 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Difficult to master master",,,,,,,,RH,,,,
tam_ease_of_use_6,technology_assessment_measurement_fast_form,,radio,"Overall, I feel the RADAR-CNS system is:","0,Usable 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Cumbersome",,,,,,,,RH,,,,
tam_usage_1,technology_assessment_measurement_fast_form,"Predicted Usage. For the following questions, please indicate the extent to which you agree with the following statements:",radio,"1. If a choice of health monitoring platform was up to me, it would likely be RADAR-CNS.","0,Agree 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Disagree",,,,,,,,RH,,,,
tam_usage_2,technology_assessment_measurement_fast_form,,radio,"2. If I need to monitor my health and the choice was up to me, I would expect to use RADAR-CNS.","0,Agree 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Disagree",,,,,,,,RH,,,,
tam_usage_3,technology_assessment_measurement_fast_form,,radio,"3. If asked, I would likely recommend RADAR-CNS as a health monitoring platform.","0,Agree 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Disagree",,,,,,,,RH,,,,
tam_usage_4,technology_assessment_measurement_fast_form,,radio,"4. For future health monitoring tasks that are totally within my control, I would probably use RADAR-CNS as a platform.","0,Agree 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7  Disagree",,,,,,,,RH,,,,
ids_1,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. ",radio,"1. Falling asleep ","0,I never take longer than 30 minutes to fall asleep|1,I take at least 30 minutes to fall asleep, less than half the time|2,I take at least 30 minutes to fall asleep, more than half the time|3,I take more than 60 minutes to fall asleep, more than half the time",,,,,,,,,,,,
ids_2,ids_sr,,radio,"2. Sleep during the night","0,I do not wake up at night|1,I have a restless, light sleep with a few brief awakenings each night|2,I wake up at least once a night, but I go back to sleep easily|3,I awaken more than once a night and stay awake for 20 minutes or more, more than half the time",,,,,,,,,,,,
ids_3,ids_sr,,radio,"3. Waking up too early","0,Most of the time, I awaken no more than 30 minutes before I need to get up|1,More than half the time, I awaken more than 30 minutes before I need to get up|2,I almost always awaken at least one hour or so before I need to, but I go back to sleep eventually|3,I awaken at least one hour before I need to, and can not go back to sleep",,,,,,,,,,,,
ids_4,ids_sr,,radio,"4. Sleeping too much","0,I sleep no longer than 7-8 hours per night without napping during the day|1,I sleep no longer than 10 hours in a 24 hour period, including naps|2,I sleep no longer than 12 hours in a 24-hour period, including naps|3,I sleep longer than 12 hours in a 24-hour period, including naps",,,,,,,,,,,,
ids_5,ids_sr,,radio,"5. Feeling sad","0,I do not feel sad|1,I feel sad less than half the time|2,I feel sad more than half the time|3,I feel sad nearly all of the time",,,,,,,,,,,,
ids_6,ids_sr,,radio,"6. Feeling irritable","0,I do not feel irritable|1,I feel irritable less than half the time|2,I feel irritable more than half the time|3,I feel extremely irritable nearly all of the time",,,,,,,,,,,,
ids_7,ids_sr,,radio,"7. Feeling anxious or tense","0,I do not feel anxious or tense|1,I feel anxious (tense) less than half the time|2,I feel anxious (tense) more than half the time|3,I feel extremely anxious (tense) nearly all of the time",,,,,,,,,,,,
ids_8,ids_sr,,radio,"8. Response of your mood to good or desired events","0,My mood brightens to a normal level which lasts for several hours when good events occur|1,My mood brightens but I do not feel like my normal self when good events occur|2,My mood brightens only somewhat to a rather limited range of desired events|3,My mood does not brighten at all, even when very good or desired events occur in my life",,,,,,,,,,,,
ids_9,ids_sr,,radio,"9. Your mood in relation to time of day","0,There is no regular relationship between my mood and the time of day|1,My mood often relates to the time of day because of environmental events (e.g., being alone, working)|2,In general, my mood is more related to the time of day than to environmental events|3,My mood is clearly and predictably better or worse at a particular time each day",,,,,,,,,,,,
ids_9a,ids_sr,,radio,"9a. Is your mood typically worse in the morning, afternoon or night?",morning|afternoon|night,,,,,,,,,,,,
ids_9b,ids_sr,,radio,"9b. Is your mood variation attributed to the environment?","0,No|1,Yes",,,,,,,,,,,,
ids_10,ids_sr,,radio,"10. The quality of your mood","0,The mood (internal feelings) that I experience is very much a normal mood|1,My mood is sad, but this sadness is pretty much like the sad mood I would feel if someone close to me died or left|2,My mood is sad, but this sadness has a rather different quality to it than the sadness I would feel if someone close to me died or left|3,My mood is sad, but this sadness is different from the type of sadness associated with grief or loss",,,,,,,,,,,,
ids_11,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days.Please complete 11 or 12 (not both)",radio,"11. Decreased appetite","0,There is no change in my usual appetite|1,I eat somewhat less often or lesser amounts of food than usual|2,I eat much less than usual and only with personal effort|3,I rarely eat within a 24-hour period, and only with extreme personal effort or when others persuade me to eat","Please fill out either question 11 or 12, not both.",,,,,,,,,,,
ids_12,ids_sr,,radio,"12. Increased appetite","0,There is no change in my usual appetite|1,I feel a need to eat more frequently than usual|2,I regularly eat more often and/or greater amounts of food than usual|3,I feel driven to overeat both at mealtime and between meals","Please fill out either question 11 or 12, not both.",,,,,,,,,,,
ids_13,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days.Please complete 13 or 14 (not both)",radio,"13. Within the last two weeks","0,I have not had a change in my weight|1,I feel as if I've had a slight weight loss|2,I have lost 2 pounds (1 kg) or more|3,I have lost 5 pounds (2.5 kg) or more","Please fill out either question 13 or 14, not both.",,,,,,,,,,,
ids_14,ids_sr,,radio,"14. Within the last two weeks","0,I have not had a change in my weight|1,I feel as if I've had a slight weight gain|2,I have gained 2 pounds (1kg) or more|3,I have gained 5 pounds (2.5 kg) or more","Please fill out either question 13 or 14, not both.",,,,,,,,,,,
ids_15,ids_sr,"Please indicate the one response to each item that best describes you for the past seven days. ",radio,"15. Concentration/decision making","0,There is no change in my usual capacity to concentrate or make decisions|1,I occasionally feel indecisive or find that my attention wanders|2,Most of the time, I struggle to focus my attention or to make decisions|3,I cannot concentrate well enough to read or cannot make even minor decisions",,,,,,,,,,,,
ids_16,ids_sr,,radio,"16. View of myself","0,I see myself as equally worthwhile and deserving as other people|1,I am more self-blaming than usual|2,I largely believe that I cause problems for others|3,I think almost constantly about major and minor defects in myself",,,,,,,,,,,,
ids_17,ids_sr,,radio,"17. View of my future","0,I have an optimistic view of my future|1,I am occasionally pessimistic about my future, but for the most part I believe things will get better|2,I am pretty certain that my immediate future (1-2 months) does not hold much promise of good things for me|3,I see no hope of anything good happening to me anytime in the future",,,,,,,,,,,,
ids_18,ids_sr,,radio,"18. Thoughts of death or suicide","0,I do not think of suicide or death|1,I feel that life is empty or wonder if it is worth living|2,I think of suicide or death several times a week for several minutes|3,I think of suicide or death several times a day in some detail, or I have made specific plans for suicide or have actually tried to take my life",,,,,,,,,,,,
ids_19,ids_sr,,radio,"19. General interest","0,There is no change from usual in how interested I am in other people or activities|1,I notice that I am less interested in people or activities|2,I find I have interest in only one or two of my formerly pursued activities|3,I have virtually no interest in formerly pursued activities",,,,,,,,,,,,
ids_20,ids_sr,,radio,"20. Energy level","0,There is no change in my usual level of energy|1,I get tired more easily than usual|2,I have to make a big effort to start or finish my usual daily activities (e.g,shopping, homework, cooking or going to work)|3,I really cannot carry our most of my usual daily activities because I just do not have the energy",,,,,,,,,,,,
ids_21,ids_sr,,radio,"21. Capacity for pleasure or enjoyment (excluding sex)","0,I enjoy pleasurable activities just as much as usual|1,I do not feel my usual sense of enjoyment from pleasurable activities|2,I rarely get a feeling of pleasure from any activity|3,I am unable to get pleasure or enjoyment from anything",,,,,,,,,,,,
ids_22,ids_sr,,radio,"22. Interest in sex (please rate interest not activity)","0,I am just as interested in sex as usual|1,My interest in sex is somewhat less than usual or I do not get the same pleasure from sex as I used to|2,I have little desire for or rarely derive pleasure from sex|3,I have absolutely no interest in or derive no pleasure from sex",,,,,,,,,,,,
ids_23,ids_sr,,radio,"23. Feeling slowed down","0,I think, speak, and move at my usual rate of speed|1,I find that my thinking is slowed down or my voice sounds dull or flat|2,It takes me several seconds to respond to most questions and I am sure my thinking is slowed|3,I am often unable to respond to questions without extreme effort",,,,,,,,,,,,
ids_24,ids_sr,,radio,"24. Feeling restless","0,I do not feel restless|1,I am often fidgety, wring my hands, or need to shift how I'm sitting|2,I have impulses to move about and am quite restless|3,At times, I am unable to stay seated and need to pace around",,,,,,,,,,,,
ids_25,ids_sr,,radio,"25. Aches and pains","0,I do not have any feeling of heaviness in my arms or legs and I do not have any aches or pains|1,Sometimes I get headaches or pains in my stomach, back or joints but these pains are only sometimes|2,It takes me several seconds to respond to most questions and I am sure my thinking is slowed|3,I am often unable to respond to questions without extreme effort",,,,,,,,,,,,
ids_26,ids_sr,,radio,"26. Other bodily symptoms","0,I do not have any of these symptoms: heart pounding fast, blurred vision, sweating, hot and cold flashes, chest pain, heart turning over in my chest, ringing in my ears, or shaking|1,I have some of these symptoms but they are mild and are present only sometimes|2,I have several of these symptoms and they bother me quite a lot|3,I have several of these symptoms and when they occur I have to stop doing whatever I am doing",,,,,,,,,,,,
ids_27,ids_sr,,radio,"27. Panic/phobic symptoms","0,I have no spells of panic of specific fears (phobia) (such as animals of heights)|1,I have mild panic episodes or fears that do not usually change my behaviour or stop me from functioning|2,I have significant panic episodes or fears that force me to change my behaviour but do not stop me from functioning|3,I have panic episodes at least once a week or severe fears that stop me from carrying on my daily activities",,,,,,,,,,,,
ids_28,ids_sr,,radio,"28. Constipation/diarrhoea","0,There is no change in my usual bowel habits|1,I have intermittent constipation or diarrhoea which is mild|2,I have intermittent constipation or diarrhoea most of the time but it does not interfere with my day-to-day functioning|3,I have constipation or diarrhoea for which I take medicating or which interferes with my day-to-day activities",,,,,,,,,,,,
ids_29,ids_sr,,radio,"29. Interpersonal sensitivity","0,I have not felt easily rejected, slighted, criticised or hurt by others at all|1,I have occasionally felt rejected, slighted, criticised or hurt by others|2,I have often felt rejected, slighted, criticised or hurt by others, but these feelings have only had slight effects on my relationships or work|3,I have often felt rejected, slighted, criticised or hurt by others and these feelings have impaired my relationships and work",,,,,,,,,,,,
ids_30,ids_sr,,radio,"30. Leaded paralysis/physical energy. ","0,I have not experiences the physical sensation of feeling weighted down and without physical energy|1,I have occasionally experienced periods of feeling physically weighted down and without physical energy, but without a negative effect on work, school, or activity level|2,I feel physically weighted down (without physical energy) more than half the time|3,I feel physically weighted down (without physical energy) most of the time, several hours per day, several days per week",,,,,,,,,,,,
cidi_1,cidi_sf,"These questions are about periods of sadness or depression you might have experienced since your last assessment.",radio,"1. Since your last assessment, has there been a period when you felt sad, empty or depressed for two weeks or longer?","0,Yes|1,No",,,,,,,,,,,,
cidi_2,cidi_sf,,radio,"2. Think about a period of two weeks since your last assessment when feeling sad, empty or depressed was worst. During this period of two weeks, how often did you feel this way?","0,Almost every day, most of the day|1,Less often",,,,,,"[cidi_1]=""0""",,,,,,
cidi_3,cidi_sf,,radio,"3. Since your last assessment, has there been a period lasting two weeks or more when you lost interest in most things like hobbies, work, or activities that usually give you pleasure?","0,Yes|1,No",,,,,,"[cidi_2]=""1""",,,,,,
cidi_4,cidi_sf,,radio,"4. Think about the period of two weeks since your last assessment when your loss of interest was worst. During this period of two weeks, how often did you feel this way?","0,Almost every day, most of the day|1,Less often",,,,,,"[cidi_2]=""1"" and [cidi_3]=""0""",,,,,,
cidi_5,cidi_sf,,radio,"5. During the period that you felt sad, empty or depressed, did you ever have a period lasting two weeks or more when you lost interest in most things like hobbies, work, or activities that usually give you pleasure?","0,Yes|1,No",,,,,,"[cidi_2]=""0""",,,,,,
cidi_6,cidi_sf,,radio,"6. Think about the period of two weeks since your last assessment when your loss of interest was worst. During this period of two weeks, how often did you feel this way?","0,Almost every day, most of the day|1,Less often",,,,,,"[cidi_5]=""0""",,,,,,
cidi_7,cidi_sf,"People who have periods in which they feel sad, empty or depressed or lose interest, often have other problems at the same time. During this period of at least two weeks since your last assessment when you felt sad, empty or depressed or lost interest in things:",radio,"7. Did you lack energy or feel tired more than usual?","0,Yes|1,No",,,,,,"[cidi_4]=""0"" or [cidi_5]=""1""",,,,,,
cidi_8,cidi_sf,,radio,"8. Did you have less appetite than usual almost every day?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_9,cidi_sf,,radio,"9. Did you lose weight without trying to, as much as a kilo a week for several weeks?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_10,cidi_sf,,text,"10. About how much weight did you lose in those weeks? (kg)",,kg,number,,,,"[cidi_9]=""0""",,,,,,
cidi_11,cidi_sf,"During this period of at least two weeks since your last assessment when you felt sad, empty or depressed or lost interest in things:",radio,"11. Did you have a much larger appetite than usual almost every day for two weeks or more?","0,Yes|1,Yes but only because of a pregnancy of growth spurt|2,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_12,cidi_sf,,radio,"12. Did your eating increase so much that you gained weight, as much as a kilo a week for several weeks?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_13,cidi_sf,,text,"13. About how much weight did you gain in those weeks? (kg)",,kg,number,,,,"[cidi_12]=""0""",,,,,,
cidi_14,cidi_sf,,radio,"14. Did you have trouble sleeping almost every night, either trouble falling asleep, waking in the middle of the night, or waking up too early?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_15,cidi_sf,,radio,"15. Did you wake up at least two hours before you wanted to, every day for at least two weeks?","0,Yes|1,No",,,,,,"[cidi_14]=""0""",,,,,,
cidi_16,cidi_sf,,radio,"16. Were you sleeping too much almost every day?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_17,cidi_sf,,radio,"17. Did you talk or move more slowly than is normal for you almost every day, in a way that other people have noticed?","0,Yes, I talked or moved more slowly and other people did notice|1,Yes, I talked or moved more slowly but other people did not notice|2,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_18,cidi_sf,,radio,"18. Did you have to be moving all the time, that is, you could not sit still and paced up and down or couldn't keep your hands still when sitting, in a way that other people noticed?","0,Yes, I had to be moving all the time and other people did notice|1,Yes, I had to be moving all the time but other people did not notice|2,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_19,cidi_sf,,radio,"19. During this period of two weeks, did you have a lot more trouble concentrating than usual?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_20,cidi_sf,,radio,"20. During this period, were you able to make up your mind about things you ordinarily had no trouble deciding about?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_21,cidi_sf,,radio,"21. People sometimes feel down on themselves, no good, or worthless. During this period of two weeks, did you feel guilty or worthless?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_22,cidi_sf,,radio,"22. During this period of two weeks, did you think a lot about death - either your own, someone else's, or death in general?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_23,cidi_sf,"For the next question, please think about the periods of at last two weeks since your last assessment when you felt sad, empty or depressed or lost interest in things.",radio,"23. Did any period lasting two weeks or longer seriously interfere with your ability to do your job, take care of your house or family, or take care of yourself?","0,Yes|1,No",,,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_24,cidi_sf,,text,"24. About how long did this period last? (In weeks, you may give an estimate). ",,,integer,,,,"[cidi_3]=""0"" or [cidi_4]=""0""",,,,,,
cidi_25,cidi_sf,,radio,"25. Did you tell a professional about these problems (for example a medical doctor, psychologist, social worker, nurse, or other helping professional)?","0,Yes|1,No",weeks,,,,,,,,,,,
cidi_26,cidi_sf,"Since your last assessment",radio,"26. Have you ever had contact with a social service organisation for problems that you had that were not related to your physical health? (for example a mental health institute, psychologist, or social work)","0,Yes|1,No",,,,,,,,,,,,
cidi_27,cidi_sf,,checkbox,"27. Have you been diagnosed with by a professional or medical doctor as having one of the following? You can tick more than one answer.","0,Depression|1,Bipolar disorder|2,Schizophrenia or psychosis|3,Eating disorder|4,Anxiety disorder|5,Panic disorder|6,Obsessive compulsive disorder|7,Post-traumatic stress disorder|8,Phobia|9,ADD/ADHD|10,Alcohol addiction|11,Drug addiction|12,Other|13,None",,,,,,,,,,,,
cidi_27a,cidi_sf,,text,"If, since your last assessment, you  have been diagnosed any other disorder by a professional or medical doctor, please specify",,,,,,,"[cidi_27]=""12""",,,,,,
cidi_28,cidi_sf,,checkbox,"28. Have you received treatment for by a professional or medical doctor for any of the following. You can tick more than one answer.","0,Depression|1,Bipolar disorder|2,Schizophrenia or psychosis|3,Eating disorder|4,Anxiety disorder|5,Panic disorder|6,Obsessive compulsive disorder|7,Post-traumatic stress disorder|8,Phobia|9,ADD/ADHD|10,Alcohol addiction|11,Drug addiction|12,Other|13,None",,,,,,"[cidi_27]<>""13""",,,,,,
cidi_28a,cidi_sf,,text,"If, since your last assessment, you have received treatment for any other disorder by a professional or medical doctor, please specify",,,,,,,"[cidi_28]=""12""",,,,,,
cidi_29,cidi_sf,,checkbox,"29. Have you received any of the following treatments. You can tick multiple answers.","0,Antidepressants|1,Psychotherapy (for example cognitive behavioural therapy, interpersonal therapy or other consults with a psychologist or psychotherapist)|2,Online help program or e-health intervention|3,Running therapy or physical activity|4,Light therapy|5,Hospitalization in psychiatric hospital|6,Electroconvulsive therapy (ECT)|7,Other|8,None of these treatments",,,,,,,,,,,,
cidi_29a,cidi_sf,,text,"If, since your last assessment, you had any other treatment, please specify",,,,,,,"[cidi_29]=""7""",,,,,,
cidi_30,cidi_sf,,text,"30. What is your weight in kg? (Please round your answer to the nearest whole number.)",,kg,integer,,,,,,,,,,
gad7_1,gad7,"Over the past two weeks, how often have you been bothered by any of the following problems ",radio,"1. Feeling nervous, anxious or on edge","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_2,gad7,,radio,"2. Not being able to stop or control worrying","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_3,gad7,,radio,"3. Worrying too much about different things","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_4,gad7,,radio,"4. Trouble relaxing","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_5,gad7,,radio,"5. Being so restless that it's hard to sit still","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_6,gad7,,radio,"6. Becoming easily annoyed or irritable","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
gad7_7,gad7,,radio,"7. Feeling afraid as if something awful might happen","0,Not at all|1,Several days|2,More than half the days|3,Nearly every day",,,,,,,,,,gad7,,
wsas_0,wsas,,radio,"Are you retired or do you choose not to have a job for reasons unrelated to your depression?","0,Yes|1,No",,,,,,,,,,,,
wsas_1,wsas,,radio,"1. Because of my depression, my ability to work is impaired.","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8  Very severely, to the point where cannot work",,,,,,,,RH,,,,
wsas_2,wsas,,radio,"2. Because of my depression, my home management (cleaning, tidying, shopping, cooking, looking after home or children, paying bills) is impaired.","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8  Very severely",,,,,,,,RH,,,,
wsas_3,wsas,,radio,"3. Because of my depression, my social leisure activities (with people, e.g. parties, bars, clubs, outings, visits, dating, home entertaining) are impaired.","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8  Very severely",,,,,,,,RH,,,,
wsas_4,wsas,,radio,"4. Because of my depression, my private leisure activities (done alone, such as reading, gardening, collecting, sewing, walking alone) are impaired.","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8  Very severely",,,,,,,,RH,,,,
wsas_5,wsas,,radio,"5. Because of my depression, my ability to form and maintain close relationships with others, including those I live with, is impaired.","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8  Very severely",,,,,,,,RH,,,,
bipq_1,bipq,"For the following questions, please mark the number that best corresponds to your views: ",radio,"1. How much does your depression affect your life?","0,No affect at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10  Severely affects my life",,,,,,,,RH,,,,
bipq_2,bipq,,radio,"2. How long do you think your depression will continue?","0,A very short time 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Forever",,,,,,,,RH,,,,
bipq_3,bipq,,radio,"3. How much control do you feel you have over your depression?","0,Absolutely no control 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Extreme amount of control",,,,,,,,RH,,,,
bipq_4,bipq,,radio,"4. How much do you think your treatment can help your depression?","0,Not at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Extremely helpful",,,,,,,,RH,,,,
bipq_5,bipq,,radio,"5. How much do you experience symptoms from your depression?","0,No symptoms at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Many severe symptoms",,,,,,,,RH,,,,
bipq_6,bipq,,radio,"6. How concerned are you about your depression?","0,Not at all concerned 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Extremely concerned",,,,,,,,RH,,,,
bipq_7,bipq,,radio,"7. How well do you feel you understand your depression?","0,Do not understand it at all 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Understand very clearly",,,,,,,,RH,,,,
bipq_8,bipq,,radio,"8. How much does your depression affect you emotionally? (e.g. does it make you angry, scared, upset or depressed?","0,Not at all affected emotionally 0|1,1|2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10 Extremely affected emotionally",,,,,,,,RH,,,,
csri_1_1a,csri,"1. In the last 3 months, have you ever used the service of a:",radio,"general practitioner (GP)","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1b,csri,,radio,neurologist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1c,csri,,radio,psychiatrist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1d,csri,,radio,"another doctor (specify)","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1e,csri,,radio,"practice nurse","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1f,csri,,radio,pharmacist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1g,csri,,radio,psychologist/therapist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1h,csri,,radio,physiotherapist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1i,csri,,radio,"social worker","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1j,csri,,radio,"community mental health worker","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1k,csri,,radio,acupuncturist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1l,csri,,radio,osteopath,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1m,csri,,radio,homeopath/herbalist,"0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1n,csri,,radio,"occupational therapist","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1o,csri,,radio,"Other care providers","0,No|1,Yes","Only record one-to-one contacts here.",,,,,,,,,csri_1_1,,
csri_1_1d2,csri,,text,"Please specify the service of another doctor",,,integer,,,,"[csri_1_1d]=""1""",,,,,,
csri_1_1o2,csri,,text,"Please specify the service of other care givers",,,integer,,,,"[csri_1_1o]=""1""",,,,,,
csri_1_2a,csri,"1. What are the number of depression related contacts in last 6 months, you had with (a):",text,"general practitioner (GP)",,,integer,,,,"[csri_1_1a]=""1""",,,,,,
csri_1_2b,csri,,text,neurologist,,,integer,,,,"[csri_1_1b]=""1""",,,,,,
csri_1_2c,csri,,text,psychiatrist,,,integer,,,,"[csri_1_1c]=""1""",,,,,,
csri_1_2d,csri,,text,"another doctor",,,integer,,,,"[csri_1_1d]=""1""",,,,,,
csri_1_2e,csri,,text,"practice nurse",,,integer,,,,"[csri_1_1e]=""1""",,,,,,
csri_1_2f,csri,,text,pharmacist,,,integer,,,,"[csri_1_1f]=""1""",,,,,,
csri_1_2g,csri,,text,psychologist/therapist,,,integer,,,,"[csri_1_1g]=""1""",,,,,,
csri_1_2h,csri,,text,physiotherapist,,,integer,,,,"[csri_1_1h]=""1""",,,,,,
csri_1_2i,csri,,text,"social worker",,,integer,,,,"[csri_1_1i]=""1""",,,,,,
csri_1_2j,csri,,text,"community mental health worker",,,integer,,,,"[csri_1_1j]=""1""",,,,,,
csri_1_2k,csri,,text,acupuncturist,,,integer,,,,"[csri_1_1k]=""1""",,,,,,
csri_1_2l,csri,,text,osteopath,,,integer,,,,"[csri_1_1l]=""1""",,,,,,
csri_1_2m,csri,,text,homeopath/herbalist,,,integer,,,,"[csri_1_1m]=""1""",,,,,,
csri_1_2n,csri,,text,"occupational therapist",,,integer,,,,"[csri_1_1n]=""1""",,,,,,
csri_1_2o,csri,,text,"other care providers.",,,integer,,,,"[csri_1_1o]=""1""",,,,,,
